Year,Keywords
2016,"3D object recognition, Transfer learning, Convolutional neural networks"
2016,"3D ultrasound, First-trimester scan, Random Forests, Convolutional Neural Networks, Fetal plane localization"
2010,"Abstraction, knowledge transfer, reinforcement learning, transfer learning, robot navigation"
2015,"Action ordering, action selection, reinforcement learning, search pruning, transfer learning"
2017,"action recognition, deep learning, transfer learning, hybrid classifier"
2016,"Action recognition, Image annotation, Fisher vectors, Recurrent Neural Networks"
2015,"Action recognition, image classification, machine learning, object recognition, survey, transfer learning, visual categorization"
2014,"Action recognition, Lab to real-world, Transfer learning, General Schatten-p norm"
2015,"Action recognition, next-generation cameras, transfer learning, feature borrowing"
2015,"Action recognition, transfer learning, deep features"
2011,"Active class selection, active learning, affective computing, arousal classification, nearest neighbors classification, transfer learning"
2017,"Active contour, Convolutional Neural Netwrok, transfer learning, image segmentation, Support Vector machine, Pistachio sorting"
2018,"active learning, activity recognition, data mining, deep learning, machine learning, transfer learning, wearable sensors"
2016,"Active learning, Entropy-based sampling, Image classification, Bag-of-visual-words, Cognitive model"
2016,"Active learning, Multiple domains, Arbitrarily different distributions, Transfer learning"
2017,"Activity recognition (AR), feature-based knowledge transfer framework, smart home, transfer learning"
2018,"Activity recognition, Activity classification, Assistive robotics"
2017,"Activity recognition, hidden Markov model (HMM), maximum a posteriori (MAP) adaptation, soft-assignment, transfer learning"
2017,"Activity recognition, Machine learning, Transfer learning, Pervasive computing"
2018,"Actor learning, Atari2600 game, double deep Q network (DQN), multisource transfer"
2019,"Affective brain-computer interface (aBCI), cross dataset, domain adaptation, electroencephalography (EEG), emotion recognition, transfer learning"
2011,"Affective computing, arousal classification, individual differences, nearest neighbors classification, transfer learning"
2018,"Affective computing, Emotion recognition, Deep learning, Natural language processing, Text mining, Transfer learning"
2017,"Affordance, bootstrapping, discriminative learning, diversity maximization, feature selection, intrinsic motivation (IM), prediction hierarchies, reuse of concepts, structure learning, transfer learning"
2019,"Age estimation, Deep CNNs, Transfer learning, Regression, Cross-database evaluation, Mean Absolute Error"
2016,"Age estimation, Deep Convolutional Neural Networks, Transfer learning, Loss function"
2018,"Air-writing, human-computer interaction, gesture recognition, handwritten character recognition, convolutional neural networks"
2014,"Al planning, Action model learning, Transfer learning, Markov logic networks, Web search"
2011,"Algorithms, Classification, feature selection, transfer learning, spatial data mining, planetary and space science"
2012,"Algorithms, Metric learning, transfer learning, multitask learning, semi-supervised learning"
2015,"Algorithms, Performance, Heterogeneous transfer learning, domain adaption, text classification, activity recognition"
2018,"Analog Neural Network, Process Variation, Low-Precision, In-Situ Transfer Learning"
2009,"Analogy, Representation mapping, Cognitive architectures, Transfer, Transfer learning, Agent architectures"
2017,"anomaly detection, non-stationary time series, automatic diagnosis, reconstruction error, statistical process control, transfer learning"
2017,"Arabic script based languages, Generalized OCR, MDLSTM, CTC"
2017,"Arousal recognition, Affect, Deep neural networks, Machine learning, Transfer learning, Stress, Emotions"
2015,"Artificial intelligence, Machine learning, Support vector machines, Transfer learning, Parameter setting"
2018,"atrial fibrillation, convolutional neural network, recurrent neural network, deep learning, transfer learning"
2018,"Attribute learning, dictionary learning, multi-task learning, zero-shot learning, person re-identification, transfer learning"
2014,"Attribute learning, latent attribute space, multitask learning, transfer learning, zero-shot learning"
2018,"Attribute, Annotation, Relationship, Active learning, Transfer learning"
2017,"Audio emotion prediction, Transfer learning, Echo State Network, Regression"
2014,"audio equalizer, transfer learning, collaborative filtering, personalized item"
2016,"Audio-visual emotion recognition, Convolutional Neural Network, Long Short-Term Memory, Transfer learning"
2016,"Autoencoder, deep learning, long short-term memory, nontechnical loss, unsupervised learning, transfer learning"
2018,"Automated planning, case-base reasoning, robotics, control systems, planning and execution"
2017,"Automated Speech Recognition, Speech Therapy, Speech Assessment Tools"
2019,"Automatic ICD-9 coding, Deep learning, Transfer learning, MeSH"
2017,"Automatic speech recognition, acoustic model, transfer learning, deep neural network, multi-task learning, children's speech processing"
2018,"Automatic Speech Recognition, Bangla Speech Recognition, Short Speech Commands, MFCC, Transfer learning, Convolutional neural network"
2018,"Autonomous Driving, Deep Reinforcement Learning, Distributed Machine Learning, Cloud Computing, Simulation"
2015,"Autonomous robot navigation, Visual place recognition, Domain adaptation, Unsupervised learning, Multiple cues"
2014,"Bag-of-words (BoW) framework, computer vision, deep learning, dictionary learning, hierarchical visual architecture, image categorization, restricted Boltzmann machine (RBM), sparse feature coding, transfer learning"
2016,"Bagging, Ensemble method, Transfer learning, Machine learning"
2013,"Bayesian inference, classification, Gaussian process (GP), multitask learning (MTL), semisupervised learning (SSL), transfer learning"
2017,"Bayesian methods, Experimental design, Human-to-machine transfer learning, Interactive machine learning, Statistics in high dimensions"
2016,"Bayesian networks parameter learning, Transfer learning, Bayesian model comparison, Bayesian model averaging"
2015,"Bayesian networks, Temporal reasoning, Transfer learning, Knowledge transfer"
2019,"Bayesian optimization, Transfer learning, Gaussian process"
2018,"Bayesian transfer learning, fully probabilistic design, incomplete modelling, Kalman filtering"
2016,"Bearing, Local mode decomposition, Transfer learning strategy, Principal components analysis"
2018,"bengali digit classification, deep learning, convolution neural networks, transfer learning, data augmentation, keras, Numtadb"
2018,"Big data, multi-view, transfer learning, data Insufficiency, subspace learning, Low rank"
2017,"Big data, Transfer learning, Temperature forecast"
2017,"bilingualism, handwritten character recognition, deep learning, hierarchical generative models, restricted Boltzmann machines, transfer learning"
2018,"Bioinformatics, Cheminformatics, Computer Vision, Natural Language Processing, Transfer Learning, Weak Supervised Learning"
2019,"Biomedical signal processing, Fetal monitoring, Deep convolutional neural network, Classification"
2017,"Biometrics, User Identification, Electrocardiogram (ECG), Deep Learning, Feature Learning, Transfer Learning, Deep Autoencoder"
2018,"Bipartite graph learning, kernel methods, Kronecker product kernel, ridge regression, support vector machine (SVM), transfer learning, zero-shot learning"
2017,"Black-Box Optimization, Bayesian Optimization, Gaussian Processes, Hyperparameters, Transfer Learning, Automated Stopping"
2018,"Blast furnace (BF), m-estimator, molten iron quality (MIQ), multiobjective optimization, multioutput leastsquares support vector regression (LS-SVR), multitask transfer learning (TL), nonlinear autoregressive exogenous (NARX) model, robust modeling"
2018,"Blast furnace (BF), Molten iron quality (MIQ), Multi-output LS-SVR (M-LS-SVR), Data-driven predictive control, Inverse system identification"
2011,"Boosting, covariate shift, detector adaptiveness, object detection, transfer learning"
2016,"Boosting, Domain adaptation, Transfer learning"
2010,"Boosting, Multi-task learning, Inductive transfer learning, Multiple tasks, Text classification"
2014,"boosting, transfer learning, distribution measure, facial expression recognition"
2015,"Bots, cross-language learning, editors, feature engineering, transfer learning, users, vandalism, Wikipedia"
2017,"Braid Hairstyle Recognition, Convolutional Neural Networks"
2017,"Brain-computer interface (BCI), domain adaptation (DA), EEG, event-related potential (ERP), transfer learning"
2015,"Brain-computer interface (BCI), EEG, event-related potentials (ERP), domain adaptation, transfer learning, single-trial classification, online calibration"
2014,"Brain-computer interface (BCI), near-infrared spectroscopy (NIRS), brain signals variability, transfer learning, bipartite graph partitioning"
2017,"Brain-computer interface, domain adaptation (DA), EEG, ensemble learning, fuzzy sets (FSs), transfer learning (TL)"
2017,"Brain-computer interface, event-related potential, EEG, active learning, domain adaptation, semi-supervised learning, transfer learning"
2014,"Brain-Computer Interfaces (BCIs), Electroencephalography (EEG) signals classification, transfer learning, ensemble methods"
2015,"Brain, Domain adaptation, Machine learning, MRI, Transfer learning"
2015,"Brain, Hippocampus, Machine learning, MRI, Transfer learning"
2017,"Breast cancer diagnosis, mammographic image analysis, deep learning, transfer learning"
2017,"breast mass classification, transfer learning, deep learning, convolutional neural networks, mammogram, computer aided diagnosis, fine-tuning"
2017,"Building blocks, code fragments, genetic programming (GP), image classification, knowledge extraction"
2018,"business closure prediction, sentiment aligned topic model, NLP, lexicon generation, apsect-wise ratings, yelp, review analysis, deep learning, hybrid neural network, CNN"
2016,"Caption Generation, CNN, LSTM, Fisher Kernel, Transfer Learning"
2015,"Case-based reasoning, Reinforcement learning, Transfer learning"
2017,"Cast shadows, Human postures classification, CNN, Video surveillance, Transfer learning, Infrared"
2016,"Change detection, cluster analysis, mean shift clustering"
2015,"Chinese deception detection, corpus construction, transfer learning"
2015,"Classification, domain adaptation, fuzzy set-based approach, fuzzy similarity, transfer learning"
2014,"Classification, feature transformation, kernel density estimation"
2014,"Classification, fuzzy systems, generalized hidden-mapping ridge regression (GHRR), inductive transfer learning, kernel methods, knowledge-leverage, neural networks, regression"
2011,"classification, large margin, maximum likelihood"
2018,"Classification, Random forest, Decision tree, Transfer learning, Quadratic optimization"
2013,"Classifier selection, domain adaptation, ordinal regression, sentiment analysis, source sample selection bias, transfer learning"
2018,"CNN, AlexNet, Transfer Learning, Computer Vision, MSER, OCR"
2016,"CNN, Multi-scale, Deep learning, VLAD, Transfer learning"
2018,"CNNs, Speech-music discrimination, Transfer learning, Audio analysis"
2016,"Co-occurrence data, directed cyclic network (DCN), heterogeneous transfer learning, multidomain, transferred weight"
2018,"Co-occurrence data, hedge weighting, heterogeneous transfer learning (HTL), online learning"
2016,"Cognitive Radio Network (CRN), Cognitive Spectrum Decision (CSD), Raptor codes, Machine learning, Transfer Actor-Critic Learning (TACT)"
2019,"Collaborative filtering (CF), data sparsity, recommender systems, social tags, transfer learning"
2015,"Collaborative filtering, Matrix factorization, Group-aware, Transfer learning, Recommender systems"
2015,"Collaborative filtering, Neural network, Representation learning"
2018,"Collaborative filtering, Transfer learning, Multiple sources, Consensus regularization"
2016,"Collaborative recommendation, Auxiliary data, Transfer learning"
2015,"Collaborative recommendation, Heterogeneous feedbacks, Factorization machine, Compressed knowledge, Transfer learning"
2016,"Colloquial Arabic, dialectical Arabic, language modelling, transfer learning, machine translation"
2014,"Common concept, distinct concept, distribution mismatch, nonnegative matrix trifactorization, triplex transfer learning"
2015,"Common decision vector, transfer learning, classification, core vector machine"
2017,"common representation learning, multi-view data, transfer learning, deep learning"
2018,"component, deep learning, synthetic aperture radar, automatic target recognition"
2017,"component, Fuzzy Transfer Learning, Brain-Computer Interface (BCI), Generalized Hidden-Mapping Ridge Regression (GHRR), Classification, Fuzzy Rule Generation"
2017,"Computational geometry, Graph theory, Hamilton cycles"
2017,"Computational Paralinguistics, speaker states, drowsiness detection, transfer learning, feature analysis"
2016,"Computational Paralinguistics, Transfer Learning, Cross-Task Labelling, Multi-Task Learning, Deception and Sincerity Identification"
2017,"Computer vision, convolutional nets, deep learning, transfer learning"
2018,"computer vision, convolutional neural network, object detection, out of stock, tensorflow"
2018,"Computer vision, Convolutional neural networks (CNNs), Zernike moments, Geodesic correction, Omni-directional image, Fisheye camera calibration, Pose classification, Transfer learning"
2018,"computer vision, deep learning, transfer learning, distracted driver detection"
2016,"Computer Vision, Deep Learning, Transfer Learning, Large Scale Learning"
2014,"Computer vision, Gesture recognition, Sign language recognition, RGBD cameras, Kinect, Dataset, Challenge, Machine learning, Transfer learning, One-shot-learning"
2013,"Computer vision, Human pose estimation, Knowledge transfer learning, Attribute model, Supervised Latent Dirichlet Allocation, Bag of features"
2018,"Computer vision, sparse representation, transfer learning (TL), visual concept recognition"
2009,"Concept Discovery, Online Learning, Transfer Learning"
2018,"Concept drift, data stream mining, ensemble learning, incremental learning, transfer learning"
2010,"Concept drift, Transfer learning, Prior estimation"
2018,"Content-based image retrieval, CBIR, Medical imaging, Deep learning, Radon"
2012,"Context modeling, object detection, transfer learning"
2017,"Context-aware computing, egocentric dataset, egocentric vision, first person vision, personal location recognition"
2014,"Context-Awareness, Activity Recognition, Transfer Learning, Machine Learning, Dynamic Environment"
2015,"continuous emotion prediction, deep learning, benchmarking, affective computing"
2017,"Convolution neural networks, Transfer learning, Dataset complexity"
2016,"Convolutional network, Transfer learning, Face clustering, Face recognition"
2017,"Convolutional networks, deep learning, greedy layer-wise training"
2018,"Convolutional neural network, computer vision, transfer learning"
2017,"convolutional neural network, deep learning, pedestrian, gender classification, k-means, transfer learning"
2018,"Convolutional neural network, Deep transfer learning, Feature visualization, Pedestrian recognition, Feature fusion"
2016,"convolutional neural network, digit classification, large data, universal OCR, transfer learning"
2017,"Convolutional Neural Network, object detection, region proposal, regression, datasets"
2018,"convolutional neural network, transfer learning, AlexNet, micro-doppler, radar classification, automatic target recognition"
2016,"convolutional neural network, transfer learning, historical Chinese character recognition"
2017,"Convolutional Neural Network(CNN), Transfer Learning (TL), Machine Learning (ML), Computer Vision"
2017,"Convolutional neural networks, Deep learning, Plant identification, Transfer learning, Inverse rank score"
2017,"convolutional neural networks, deep learning, transfer learning, skin lesions"
2017,"Convolutional neural networks, End-to-End, Webpage saliency prediction, Two-stage transfer learning"
2017,"convolutional neural networks, facial recognition, transfer learning, FERET image dataset"
2019,"Convolutional neural networks, Machine learning, Deep learning, TensorFlow, Inception V3, Inception ResNet V2"
2017,"Convolutional Neural Networks, Object Recognition, Deep Learning, Few-Shot Learning, Transfer Learning"
2018,"Convolutional neural networks, Shearlet transform, Multimodal medical image fusion, Transfer learning, Similarity metric learning"
2019,"Convolutional Neural Networks, Soft tissue sarcoma, Multi-modal medical image fusion and classification, Type-2 fuzzy logic, Transfer learning"
2019,"Convolutional neural networks, steganalysis, transfer learning, gaussian high-pass filter, Inception-V3"
2016,"Convolutional neural networks, Transfer learning, Celiac Disease, Automated diagnois, Endoscopy"
2018,"Convolutional neural networks, transfer learning, multi-task learning, deep learning, visual recognition"
2016,"Convolutional neural networks, Transfer learning, Multitask learning, Deep learning, Visual recognition"
2016,"Convolutional neural networks, transfer learning, representation learning, deep learning, visual recognition"
2018,"Convolutional Neural Networks, Transfer learning, Vehicle recognition, Noisy dataset, Isolation forest"
2019,"Coral images classification, Deep learning, Convolutional neural networks, Inception, ResNet, DenseNet"
2013,"Cottonmaturity estimation, Transfer learning, Feature-based domain adaptation"
2009,"covariate shift, discriminative learning, transfer learning"
2018,"covariate shift, distribution preservation, dithering, health care, k-member clustering, microdata release, privacy, reidentifcation risk, Rosenblatt's transformation, supervised learning, transfer learning"
2019,"Covariate shift, Transfer learning, Density ratio, Structural risk minimization, Biconvex optimization"
2018,"Cross domain collaborative filtering, Transfer learning, Bi-orthogonal tri-factorization, Classification problem"
2011,"Cross domain learning, machine learning, semi-supervised learning, transfer learning"
2018,"Cross domain, Opinion mining, Aspect extraction"
2018,"Cross domain/source, incomplete multisource, transfer learning"
2018,"Cross-company defect prediction, Transfer learning, SSDBSCAN, Multi-source TrAdaBoost"
2016,"Cross-database facial expression recognition, Domain adapatation, Transfer learning, Dictionary learning"
2018,"Cross-database micro-expression recognition, micro-expression recognition, domain adaptation, transfer learning"
2016,"Cross-dataset, Action recognition, Neural network, Transfer learning, Domain adaptation"
2016,"Cross-domain clustering, maximum entropy clustering (MEC), privacy protection, transfer learning, validity index"
2017,"Cross-Domain Collaborative Filtering, transfer learning, recommender system, similarity network fusion"
2012,"Cross-domain learning, domain adaptation, transfer learning, support vector machine, multiple kernel learning"
2018,"Cross-domain recommendation, cold start, partial least square regression, transfer learning"
2015,"Cross-domain recommendation, Transfer learning, Nonparametric pairwise clustering algorithm, Item cold start problem"
2018,"cross-domain, knowledge transfer, recommender system"
2017,"cross-domain, knowledge transfer, recommender system"
2017,"cross-domain, recommender system, transfer learning, cluster"
2017,"cross-lingual speech recognition, probabilistic transcription, deep neural networks, multi-task learning"
2016,"cross-lingual speech recognition, transfer learning, deep neural networks, probabilistic transcription"
2014,"Cross-site Recommender Systems, Collaborative Filtering, Transfer Learning, RBF Kernel"
2016,"Cross-view action recognition, Transfer learning, Discriminant analysis, Heterogeneous domain adaption"
2015,"Cross-view action recognition, Transfer learning, Discriminant analysis, Heterogeneous domain adaption"
2015,"Cross-view action recognition, transfer learning, heterogeneous features, multiple views adaptation"
2018,"Crowdsensing, task allocation, data quality"
2016,"Crowdsourcing, Contest, Recommendation system, Transfer learning, Feature-based matrix factorization"
2015,"Customer churn prediction, Transfer ensemble model, Feature selection, GMDH-type neural network, Transfer learning"
2017,"Customer identification, Feature selection, Class imbalance, Absolute rarity, Transfer learning, Group method of data handling"
2018,"Dark Knowledge, Deep Learning, Model Compression, Neural Network, Transfer Learning"
2014,"Data classification, fuzzy min-max neural network, online learning, transfer learning"
2018,"Data clustering, image classification, low-rank coding, self-taught learning (STL), transfer learning"
2018,"Data Mining, Transfer Learning"
2010,"Data mining, transfer learning, cross-domain, text classification, Wikipedia"
2014,"Data representation, Nonnegative matrix factorization, Cross-domain learning"
2012,"Data stream classification, Transfer learning, Semi-supervised learning, Relational k-means, Concept drifting"
2018,"Data-sensitive granularity, hidden Markov model (HMM), relative entropy (RE), sequence transfer learning, substructural regularization"
2015,"Dataset bias, Domain adaptation, Iterative self-labeling"
2017,"DBN, RBM, Semi-supervised, Rectified Linear Units, Transfer Learning"
2014,"decision forests, transfer learning, gesture recognition"
2017,"Decision support, Deep learning, Transfer learning, Text mining, Financial news, Machine learning"
2018,"Deep autoencoders, Knowledge transfer, Hierarchical dataset, Corrupted dataset"
2018,"Deep Convolutional Neural Network (DCNN), Handwritten Arabic Character Recognition (HACR), OIHACDB, AHCD, Transfer learning"
2017,"Deep convolutional neural network, DCE-MRI, Breast, Cancer"
2018,"Deep Convolutional Neural Networks (DCNN), Indoor navigation, Semantic segmentation, Siamese network"
2017,"Deep convolutional neural networks, Transfer learning, Texture descriptors, Texture classification, Ensemble of descriptors"
2018,"Deep domain adaptation, Deep networks, Transfer learning, Computer vision applications"
2018,"Deep learning (DL), Electroencephalogram (EEG), Motor imagery (MI), Convolutional neural networks (CNNs), Brain computer interface (BCI), Stroke rehabilitation"
2017,"deep learning, breast cancer, histopathological image, CNN, classification, massive image data"
2017,"Deep Learning, Convolution Neural Networks, Fusion, Transfer Learning"
2018,"Deep learning, convolution neural networks, transfer learning, image classification"
2018,"deep learning, convolutional network, quality control system, production spoilage detection"
2017,"Deep Learning, Convolutional neural network, Clothing image recognition"
2017,"deep learning, convolutional neural network, transfer learning, inception model, class activation map, face detection, face localization, thermography"
2016,"Deep learning, Convolutional neural networks, Transfer learning, Learning curves, AlexNet"
2017,"Deep Learning, Convolutional Neural Networks, Transfer Learning, Malware Classification"
2019,"Deep learning, Dictionary learning, Feature learning, Land-use classification, Sparse representation"
2016,"deep learning, emotion recognition, neural networks, speech recognition, transfer learning"
2017,"Deep Learning, Inception, Landmark recognition, neural networks"
2018,"Deep learning, Inception, ResNet, transfer learning, fine-tuning, white blood cell classification"
2019,"Deep learning, Kernel methods, Deep kernel, Deep embedding kernel, Supervised learning"
2015,"Deep learning, multi-instance learning, multi-task learning, transfer learning, bioinformatics"
2017,"Deep Learning, Neural Network, Geospatial, Automation, Satellite Imagery"
2018,"Deep learning, Preprocessing, Transfer learning, Deep convolutional network"
2018,"Deep learning, sentiment analysis, visual analysis, transfer learning, natural language processing"
2017,"Deep learning, Small dataset, Stacked autoencoder"
2018,"deep learning, synthetic aperture radar, transfer learning, automatic target recognition"
2018,"Deep learning, Temporal ConvNets, Transfer learning Text classification, Sentiment analysis"
2017,"Deep Learning, Temporal ConvNets, Transfer Learning, Text Classification, Sentiment Analysis"
2017,"Deep learning, Thermal imaging, Marine mammals"
2018,"Deep learning, Traffic sign detection, Convolutional neural network"
2018,"Deep learning, Transfer learning, Computer vision, Object detection, Underwater video analysis"
2015,"Deep learning, Transfer learning, Ensemble"
2017,"Deep learning, Transfer learning, Non-handcrafted features, Texture descriptors, Texture classification, Ensemble of descriptors"
2018,"Deep learning, Transfer learning, VGG Periocular region, Video surveillance, UBIRIS.v2, MobBIO"
2016,"Deep metric learning, deep transfer metric learning, transfer learning, face verification, person reidentification"
2017,"Deep neural network, Sentence selection, Transfer learning"
2017,"Deep Neural Network, Transfer Learning, Feature Learning, Brain Decoding"
2015,"Deep neural network, Transfer learning, Optimization"
2016,"deep neural networks, transfer learning, retraining, drift detection, emotion recognition, on line facial expression analysis"
2018,"Deep transfer hashing (DTH), hashing, privileged information, transfer learning (TL)"
2018,"Demand prediction, Demand-differentiation index, Life-cycle demand, New product development, Product differentiation, Transfer learning"
2015,"Design, Algorithms, Performance, Theory, Data mining, computer vision, big visual data, visual mining, transfer learning, visual knowledge base, RGB-D sensor"
2015,"Detector adaption, Transfer learning, Sparse coding, Pedestrian detection"
2016,"diabetic retinopathy recognition, hybrid color space, convolutional neural networks, LGI, CKML Net, VNXK, transfer learning"
2017,"dialogue state tracking, belief tracking, dialogue systems, transfer learning"
2016,"Dictionary learning, cross-view, action recognition, transfer learning"
2015,"Dimension reduction, Sparse coding, Transfer learning, Speech emotion recognition"
2018,"Dimensionality reduction, domain adaptation, drift correction, Hilbert-Schmidt independence criterion (HSIC), machine olfaction, transfer learning"
2011,"Dimensionality reduction, domain adaptation, Hilbert space embedding of distributions, transfer learning"
2017,"Dimensionality reduction, domain adaptation, kernel method, multiobjective optimization, transfer learning"
2018,"Dimensionality reduction, domain adaption, dynamic multiobjective optimization, evolutionary algorithm (EA), transfer learning"
2011,"dimensionality reduction, Fisher discriminant analysis, transfer learning, brain-computer interface"
2014,"Dimensionality reduction, Gaussian process, Regression, Transfer learning"
2011,"Dimensionality reduction, Latent variable model, Transfer learning, Bregman divergence"
2019,"Dimensionality reduction, Machine learning, Data visualization, Human-computer interaction, Intelligent human interfaces"
2012,"Dimensionality reduction, Mixed kernel, Canonical Correlation Analysis, Model selection"
2017,"Discriminant tracking, tensor samples, semi-supervised learning, graph embedding space"
2018,"Distance metric learning (DML), heterogeneous domain, high-order statistics, multitask, tensor"
2014,"Distance metric learning, transfer learning, decomposition, base metric, image classification"
2017,"Distributed Multi-Task Learning, Transfer Learning"
2016,"Distribution diversity, electroencephalogram (EEG), epilepsy detection, feature extraction, Takagi-Sugeno-Kang (TSK) fuzzy logic system (FLS), transfer learning"
2018,"Dockless shared bikes, hotspots detection, urban computing, transfer learning"
2018,"document structure learning, deep convolutional neural network, document recognition, deep learning, transfer learning, intra-domain, neural network"
2017,"Domain adaptation (DA), instance weighting, transfer learning"
2018,"Domain adaptation, fuzzy relations, machine learning, transfer learning"
2019,"Domain adaptation, fuzzy rules, machine learning, regression, transfer learning"
2019,"Domain adaptation, fuzzy rules, machine learning, regression, transfer learning"
2018,"Domain adaptation, Image classification, Fusion methods, Domain adaptation frameworks"
2018,"Domain adaptation, Image simulation, Machine vision, Roughness measurement, Transfer learning"
2018,"domain adaptation, multi-source transfer learning, common subspace learning, face recognition"
2014,"Domain Adaptation, Neural Networks, Representation Learning, Transfer Learning, Maximum Mean Discrepancy"
2016,"Domain adaptation, Object recognition, Deep learning, Convolutional networks, Transfer learning"
